variant	train_seed	eval_seed	sample_step	max_iter	geo_feat_lr_mult	AP	AP50	AP75	APs	APm	APl	out_dir
phase2_geofeat_iter1500_lrmult50	1	0	1	1500	50	46.7449	72.4754	49.9393	18.1882	54.2559	70.5872	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter1500_lrmult50_evalseed0
phase2_geofeat_iter1500_lrmult50	1	1	1	1500	50	47.5615	74.1074	47.5533	18.7985	55.0807	73.2581	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter1500_lrmult50_evalseed1
phase2_geofeat_iter1500_lrmult50	1	2	1	1500	50	47.9121	75.1312	47.0847	20.3962	55.3719	72.7893	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter1500_lrmult50_evalseed2
phase2_geofeat_iter1500_lrmult50	1	3	1	1500	50	45.9978	72.1694	47.7374	18.376	53.1117	73.2209	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter1500_lrmult50_evalseed3
phase2_geofeat_iter1500_lrmult50	1	4	1	1500	50	46.5497	73.7694	47.2711	19.3472	54.2843	70.5932	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter1500_lrmult50_evalseed4
phase2_geofeat_iter1500_lrmult100	1	0	1	1500	100	47.5993	74.2823	50.9328	20.0648	54.1714	73.1607	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter1500_lrmult100_evalseed0
phase2_geofeat_iter1500_lrmult100	1	1	1	1500	100	46.2284	72.9107	46.4889	17.8599	53.8817	71.2029	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter1500_lrmult100_evalseed1
phase2_geofeat_iter1500_lrmult100	1	2	1	1500	100	48.133	73.3482	48.8814	17.8613	56.569	74.1615	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter1500_lrmult100_evalseed2
phase2_geofeat_iter1500_lrmult100	1	3	1	1500	100	46.6607	72.8585	45.9069	19.9319	53.3886	72.0973	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter1500_lrmult100_evalseed3
phase2_geofeat_iter1500_lrmult100	1	4	1	1500	100	47.7551	75.1758	50.1993	21.8005	54.9503	68.8939	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter1500_lrmult100_evalseed4
