train_seed	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
0	0	49.2142	77.5211	49.9952	22.1182	55.7730	76.9511	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_iter2500_step5/train0_evalseed0
0	1	48.6870	77.3404	50.0861	20.7037	56.3219	73.9854	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_iter2500_step5/train0_evalseed1
0	2	48.5502	76.3694	49.7519	20.0186	56.1759	74.3604	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_iter2500_step5/train0_evalseed2
0	3	49.7329	77.1130	52.1260	23.1430	56.1799	75.7527	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_iter2500_step5/train0_evalseed3
0	4	49.1446	76.9202	51.7024	20.8841	56.8791	72.8606	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_iter2500_step5/train0_evalseed4
1	0	48.3701	78.4398	48.5754	21.0992	55.1762	72.6904	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_iter2500_step5/train1_evalseed0
1	1	48.2994	77.2106	48.4689	21.3428	55.1295	71.7957	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_iter2500_step5/train1_evalseed1
1	2	48.4201	76.5423	48.0548	22.0345	54.8884	71.2280	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_iter2500_step5/train1_evalseed2
1	3	48.1996	76.8008	48.7798	20.6690	54.6498	73.1481	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_iter2500_step5/train1_evalseed3
1	4	47.0549	75.6958	47.5578	21.2917	53.2661	70.8955	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_iter2500_step5/train1_evalseed4
2	0	48.2382	78.2771	50.3990	21.2673	54.9765	71.1614	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_iter2500_step5/train2_evalseed0
2	1	47.9582	76.4314	51.2528	19.9930	54.6016	71.9085	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_iter2500_step5/train2_evalseed1
2	2	48.8568	77.0821	51.1700	21.4437	55.5833	71.0200	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_iter2500_step5/train2_evalseed2
2	3	47.9228	76.1152	52.6527	20.5635	54.3011	73.5031	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_iter2500_step5/train2_evalseed3
2	4	48.8752	77.7916	51.8548	22.3737	54.7460	74.1381	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_iter2500_step5/train2_evalseed4
